Timestamp,System_Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5,Channel_6,Channel_7,Channel_8,Command
17043.655045625,1689476979,1302334.0,-1306752.0,1083762.0,399179.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.66317325,1689476979,1319295.0,-1308691.0,1088304.0,400503.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.663616916,1689476979,1301646.0,-1308814.0,1078988.0,396048.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.669025375,1689476979,1283543.0,-1306762.0,1073802.0,394673.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.669561666,1689476979,1297780.0,-1306559.0,1081964.0,398413.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.675446375,1689476979,1318754.0,-1308732.0,1088279.0,400303.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.675640041,1689476979,1305846.0,-1309496.0,1080174.0,395959.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.681283958,1689476979,1284094.0,-1308067.0,1072609.0,393268.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.681513208,1689476979,1293039.0,-1306744.0,1079404.0,397168.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.696864208,1689476979,1286113.0,-1306256.0,1076131.0,396274.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.736031291,1689476979,1311031.0,-1308636.0,1083218.0,398249.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.736216291,1689476979,1314674.0,-1309534.0,1084797.0,398684.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.742734541,1689476979,1289854.0,-1305969.0,1078768.0,397651.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.742985958,1689476979,1310261.0,-1307077.0,1086619.0,400832.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.748770875,1689476979,1316866.0,-1309250.0,1085976.0,399404.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.749003625,1689476979,1293350.0,-1308799.0,1075428.0,394614.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.755190333,1689476979,1283683.0,-1307272.0,1074527.0,394972.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.761010416,1689476979,1305744.0,-1307459.0,1084885.0,399733.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.761357666,1689476979,1318836.0,-1309159.0,1087566.0,400275.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.767110833,1689476979,1298362.0,-1308615.0,1077707.0,395956.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.767352041,1689476979,1283539.0,-1306481.0,1074420.0,395548.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.773984916,1689476979,1301691.0,-1306187.0,1083918.0,399991.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.774247333,1689476979,1319944.0,-1307934.0,1089077.0,401622.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.779734291,1689476979,1303033.0,-1309000.0,1079946.0,396654.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.779933416,1689476979,1283613.0,-1307589.0,1073916.0,394509.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.785706708,1689476979,1291766.0,-1307693.0,1079029.0,396984.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.785971041,1689476979,1318771.0,-1308783.0,1088930.0,400981.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.7920865,1689476979,1282884.0,-1308131.0,1073416.0,394341.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.792431666,1689476979,1315843.0,-1309005.0,1087952.0,400587.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.798281291,1689476979,1318312.0,-1310309.0,1088076.0,400366.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
17043.798612416,1689476979,1286613.0,-1309669.0,1073369.0,393389.0,-8388608.0,-8388608.0,-8388608.0,-8388608.0,0
